OBJECTID,R_NAME,R_CODE,Z_NAME,Z_CODE,W_NAME,W_CODE,RK_NAME,RK_CODE,COUNT,T_NAME,T_CODE,KK_CODE,UK_NAME,UK_CODE,UK_ID,KK_NAME,GlobalID,Shape__Area,Shape__Length
62,Tigray,1,North Western Tigray,101,Tahitay Adiyabo,10101,Adihegeray,10101006,3, ,0,0, , , , ,81ca1504-2a92-4e7e-842f-fd0989c079de,64809370.4794922,44650.7480486447
63,Tigray,1,North Western Tigray,101,Tahitay Adiyabo,10101,Shemblina,10101007,2, ,0,0, , , , ,ca80938a-c9cf-45c9-b425-7f89f6616bb6,78301242.7929688,44001.5163933495
64,Tigray,1,North Western Tigray,101,Tahitay Adiyabo,10101,Gemhelo,10101008,6, ,0,0, , , , ,ad858ea4-3b1b-489f-85e9-857663685892,363790586.890625,99046.2903434756
65,Tigray,1,North Western Tigray,101,Tahitay Adiyabo,10101,Lemlem,10101009,1, ,0,0, , , , ,e7c427cd-e47f-4739-aa1c-c6b0c0e42761,40787502.1635742,26949.3498902727
66,Tigray,1,North Western Tigray,101,Tahitay Adiyabo,10101,Ademeyti,10101010,6, ,0,0, , , , ,a939f8bb-97c7-47e5-bb03-9971a8a83ebf,178859128.378418,66080.4554342699
67,Tigray,1,North Western Tigray,101,Tahitay Adiyabo,10101,Aditeter,10101011,7, ,0,0, , , , ,364ccee6-801f-4871-81fb-5840b090d863,707145184.520996,128238.096600474
68,Tigray,1,North Western Tigray,101,Tahitay Adiyabo,10101,Adiaser,10101012,4, ,0,0, , , , ,45d9b80f-5669-446f-b06a-8ddc5cfcecef,337223970.526367,88549.9793299581
69,Tigray,1,North Western Tigray,101,Tahitay Adiyabo,10101,Mentebteb,10101013,7, ,0,0, , , , ,a7edf553-61f7-4c09-b50e-539ca22a2a44,164750352.74707,63624.0966444158
70,Tigray,1,North Western Tigray,101,Tahitay Adiyabo,10101,Markuhili,10101014,7, ,0,0, , , , ,f8a6eece-fdc6-48e0-8e11-98a95fc397a7,263232484.337891,87984.1206437205
71,Tigray,1,North Western Tigray,101,Tahitay Adiyabo,10101,Aterega,10101015,6, ,0,0, , , , ,a347acf9-9625-4207-8d3b-d84ea525a11a,161841350.318848,64198.7219934833
72,Tigray,1,North Western Tigray,101,Tahitay Adiyabo,10101,Zabangedena,10101016,15, ,0,0, , , , ,71be4384-1df3-4884-8b08-87b3b7de497d,252713127.904785,91733.1901610309
73,Tigray,1,North Western Tigray,101,Tahitay Adiyabo,10101,Lesemuguna Andi,10101017,6, ,0,0, , , , ,b1f421a5-fd61-4522-a2e9-09b17323f838,91744892.015625,44076.5695241996
74,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,Dogale,10102001,2, ,0,0, , , , ,3b89004c-fc15-4fb8-8917-3764928342bb,117376965.980469,53205.5217530323
75,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,Adikelite,10102002,6, ,0,0, , , , ,a8c4d6c4-54a3-4369-a71a-37558bbcff04,210660641.941895,72422.8388425845
76,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,Medere Felasi,10102003,7, ,0,0, , , , ,b3edbc78-b856-4113-8afc-64dfbd433679,148509319.598145,75612.6852182599
77,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,Adinebereid,10102004,12, ,0,0, , , , ,69334f3e-1dcb-4c72-9ea1-f7890bc3b8bc,116885119.022461,72330.0943857849
78,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,Godfeye,10102005,7, ,0,0, , , , ,48b2b8f0-f329-40ec-9050-909c46b3c199,119223027.890137,58480.45606702
79,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,Fethi,10102006,8, ,0,0, , , , ,598d4d18-d97f-4fe5-84d3-444f840e15db,89768187.640625,64271.7469325347
80,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,Hebret,10102007,9, ,0,0, , , , ,78ec4bdb-5ef7-4aa2-9ed1-a8b0dbc227a0,85830118.746582,77492.4194485336
81,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,Adi Gedena,10102008,7, ,0,0, , , , ,74e66c94-339b-4bb1-bafd-d10386c5d042,70810141.9970703,60204.0457143281
82,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,Egub,10102009,6, ,0,0, , , , ,34bd5a57-d39f-411d-9b4a-d1c7e0e25060,127491421.027832,57131.2911921135
83,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,Medebay Terer,10102010,6, ,0,0, , , , ,e6bd8b98-b3c2-4b5b-b40a-7542db3f6d7a,105774112.891602,53847.2928692002
84,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,Adi Miliyen,10102011,3, ,0,0, , , , ,3b4f3810-5ea0-44e8-b88f-2d3722c1b353,54736452.2216797,40893.0491470181
85,Tigray,1,North Western Tigray,101,Laelay Adiabo,10102,Hadegeta,10102012,7, ,0,0, , , , ,dd147393-5b41-4f4c-99d1-1d47e957396f,65732323.4238281,43451.4766489336
